query,clicks,impressions,position,ctr,clicks_per_impression,potential_clicks,click_opportunity,rank
cvety kz,1243,9836,1.2089976168055303,0.06708959289783432,0.06708959289783432,1014.6137879431551,-228.38621205684498,1
цветы астана,498,16212,11.7544342858567,0.02087332384245215,0.02087332384245215,1672.317886349576,1174.317886349576,2
цветы,441,198605,5.627729801420887,0.0016543649119386077,0.0016543649119386077,20486.719332497996,20045.719332497996,3
цветы кз,417,2700,1.1131929787975925,0.1344287362106083,0.1344287362106083,278.51334154600636,-138.48665845399364,4
доставка цветов астана,336,15518,4.5999230282314025,0.013390678560217995,0.013390678560217995,1600.7296422633062,1264.7296422633062,5
