query,clicks,impressions,position,ctr,clicks_per_impression,potential_clicks,click_opportunity,rank
cvety kz,3721,39121,1.3871148343329847,0.03189312115709087,0.03189312115709087,3235.9616244275694,-485.0383755724307,1
цветы астана,2353,99393,3.2124311688326417,0.012572612426975384,0.012572612426975384,8221.465037619933,5868.465037619934,2
цветы,1619,596722,6.820918574292124,0.0020426435477389824,0.0020426435477389824,49358.89911944143,47739.89911944143,3
доставка цветов астана,1548,41977,3.339929922725021,0.01806609290214515,0.01806609290214515,3472.2006367065283,1924.2006367065283,4
пионы,1453,507457,6.271382208737274,0.010495660973193915,0.010495660973193915,41975.18923460906,40522.18923460906,5
