,query,clicks,impressions,position
0,cvety kz,470,597,1.1105527638190955
1,цветы астана,179,2088,3.6135057471264367
2,цветы кз,156,218,1.3256880733944953
3,доставка цветов астана,95,1491,3.5580147551978536
4,цветы алматы,81,3301,7.124204786428355
5,цветы,68,18399,4.266644926354694
6,букет за 5000 тенге алматы,61,216,1.9953703703703702
7,подарок мужчине,61,2128,6.418703007518797
8,доставка цветов костанай,52,389,2.2005141388174807
9,цветы астана доставка,49,377,3.962864721485411
