query,clicks,impressions,position,ctr,click_opportunity,improvement_potential
1 пион цена,0,109,7.614678899082569,0.0,11.24368675130174,inf
101 роза цена,0,1530,9.435294117647059,0.0,157.82422687607027,inf
101 роза цена шымкент,0,141,7.546099290780142,0.0,14.544585614069222,inf
101роза,0,114,3.956140350877193,0.0,11.759452198609157,inf
25 роз,0,232,4.741887019230769,0.0,23.93151675506425,inf
