date,source,metric_type,value,clicks,impressions,ctr,position,url,query
2024-12-10T22:05:26.153847,google_search_console,search_analytics,13,13,573,0.02268760907504363,8.286212914485166,https://cvety.kz/almaty/,заказ цветов алматы
2024-12-10T22:05:26.153851,google_search_console,search_analytics,13,13,74,0.17567567567567569,2.5,https://cvety.kz/blog/bukety-iz-gipsofily-kak-zasushit-i-khranit-kachim-v-vide-sukhotsveta/,как засушить гипсофилы
2024-12-10T22:05:26.153854,google_search_console,search_analytics,13,13,163,0.07975460122699386,3.8588957055214723,https://cvety.kz/,купить цветы астана
2024-12-10T22:05:26.153857,google_search_console,search_analytics,13,13,3167,0.004104831070413641,8.043258604357437,https://cvety.kz/almaty/flowers/peony-roses/,пионовидные розы
2024-12-10T22:05:26.153861,google_search_console,search_analytics,13,13,4207,0.0030900879486570002,7.396006655574043,https://cvety.kz/almaty/flowers/roses/,роза
2024-12-10T22:05:26.153864,google_search_console,search_analytics,13,13,145,0.0896551724137931,2.1310344827586207,https://cvety.kz/almaty/flowers/roses/,розы алматы
2024-12-10T22:05:26.153867,google_search_console,search_analytics,13,13,9213,0.001411049603820688,7.440247476392055,https://cvety.kz/almaty/,цветы
2024-12-10T22:05:26.153871,google_search_console,search_analytics,13,13,202,0.06435643564356436,7.1138613861386135,https://cvety.kz/almaty/,цветы с доставкой алматы
2024-12-10T22:05:26.153874,google_search_console,search_analytics,13,13,118,0.11016949152542373,3.3728813559322033,https://cvety.kz/,цветы с доставкой астана
2024-12-10T22:05:26.153877,google_search_console,search_analytics,12,12,79,0.1518987341772152,4.924050632911392,https://cvety.kz/rudny/,доставка цветов рудный
2024-12-10T22:05:26.153880,google_search_console,search_analytics,12,12,360,0.03333333333333333,7.416666666666667,https://cvety.kz/almaty/,заказать цветы алматы
2024-12-10T22:05:26.153884,google_search_console,search_analytics,12,12,135,0.08888888888888889,5.148148148148148,https://cvety.kz/astana/plants/,комнатные цветы астана
2024-12-10T22:05:26.153887,google_search_console,search_analytics,12,12,134,0.08955223880597014,1.2014925373134329,https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,нужна ли вода гипсофилам
2024-12-10T22:05:26.153891,google_search_console,search_analytics,12,12,298,0.040268456375838924,2.5402684563758386,https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,нужно ли гипсофилы ставить в воду
2024-12-10T22:05:26.153894,google_search_console,search_analytics,12,12,183,0.06557377049180328,3.907103825136612,https://cvety.kz/astana/flowers/peonies/,пионы астана
2024-12-10T22:05:26.153898,google_search_console,search_analytics,12,12,547,0.021937842778793418,8.873857404021937,https://cvety.kz/karaganda/,цветы караганда
2024-12-10T22:05:26.153901,google_search_console,search_analytics,11,11,51,0.21568627450980393,2.7254901960784315,https://cvety.kz/almaty/,cvety
2024-12-10T22:05:26.153904,google_search_console,search_analytics,11,11,2231,0.004930524428507396,8.43343792021515,https://cvety.kz/,букет цветов
2024-12-10T22:05:26.153907,google_search_console,search_analytics,11,11,5471,0.0020106013525863645,10.285870955949552,https://cvety.kz/blog/gipsofily-znachenie-buketa-i-tsvetkov/,гипсофилы
2024-12-10T22:05:26.153911,google_search_console,search_analytics,11,11,5090,0.0021611001964636544,6.621218074656189,https://cvety.kz/astana/flowers/shrub-roses/,кустовые розы
2024-12-10T22:05:26.153914,google_search_console,search_analytics,11,11,18,0.6111111111111112,1.0,https://cvety.kz/almaty/,цветы кз алматы
2024-12-10T22:05:26.153917,google_search_console,search_analytics,11,11,23,0.4782608695652174,1.0434782608695652,https://cvety.kz/,цветы кз астана
2024-12-10T22:05:26.153921,google_search_console,search_analytics,11,11,824,0.013349514563106795,12.70752427184466,https://blog.cvety.kz/men-gifts,что подарить на день рождения мужчине
2024-12-10T22:05:26.153924,google_search_console,search_analytics,10,10,514,0.019455252918287938,1.0194552529182879,https://cvety.kz/en/,cvety kz
2024-12-10T22:05:26.153928,google_search_console,search_analytics,10,10,145,0.06896551724137931,3.420689655172414,https://cvety.kz/,астана доставка цветов
2024-12-10T22:05:26.153931,google_search_console,search_analytics,10,10,42,0.23809523809523808,1.5,https://cvety.kz/almaty/flowers/cheap/,дешевые цветы алматы
2024-12-10T22:05:26.153934,google_search_console,search_analytics,10,10,81,0.12345679012345678,3.6049382716049383,https://cvety.kz/kostanay/flowers/cheap/,дешевые цветы костанай
2024-12-10T22:05:26.153938,google_search_console,search_analytics,10,10,1724,0.00580046403712297,1.812645011600928,https://cvety.kz/shymkent/flowers/shrub-roses/,кустовые розы
2024-12-10T22:05:26.153941,google_search_console,search_analytics,10,10,240,0.041666666666666664,5.333333333333333,https://blog.cvety.kz/flowershop,открыть цветочный магазин
2024-12-10T22:05:26.153944,google_search_console,search_analytics,10,10,177,0.05649717514124294,2.463276836158192,https://blog.cvety.kz/floral-foam,сколько простоят цветы в губке
2024-12-10T22:05:26.153948,google_search_console,search_analytics,10,10,140,0.07142857142857142,3.335714285714286,https://cvety.kz/,цветы в астане
2024-12-10T22:05:26.153951,google_search_console,search_analytics,9,9,41,0.21951219512195122,2.8048780487804876,https://cvety.kz/en/almaty/,flowers almaty
2024-12-10T22:05:26.153954,google_search_console,search_analytics,9,9,465,0.01935483870967742,3.1225806451612903,https://cvety.kz/blog/gipsofily-znachenie-buketa-i-tsvetkov/,гипсофилы значение
2024-12-10T22:05:26.153958,google_search_console,search_analytics,9,9,68,0.1323529411764706,2.5441176470588234,https://cvety.kz/blog/bukety-iz-gipsofily-kak-zasushit-i-khranit-kachim-v-vide-sukhotsveta/,как высушить гипсофилу
2024-12-10T22:05:26.153961,google_search_console,search_analytics,9,9,646,0.01393188854489164,7.804953560371517,https://blog.cvety.kz/how-to-dry-flowers,как засушить цветы
2024-12-10T22:05:26.153965,google_search_console,search_analytics,9,9,150,0.06,1.0133333333333334,https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,нужна ли гипсофилам вода
2024-12-10T22:05:26.153969,google_search_console,search_analytics,9,9,77,0.11688311688311688,1.5324675324675323,https://cvety.kz/astana/flowers/roses/,розы астана
2024-12-10T22:05:26.153973,google_search_console,search_analytics,9,9,242,0.0371900826446281,8.735537190082646,https://cvety.kz/almaty/,цветы доставка алматы
2024-12-10T22:05:26.153976,google_search_console,search_analytics,9,9,41,0.21951219512195122,1.9268292682926829,https://cvety.kz/kostanay/,цветы костанай доставка
2024-12-10T22:05:26.153979,google_search_console,search_analytics,9,9,159,0.05660377358490566,7.150943396226415,https://cvety.kz/almaty/,цветы на заказ алматы
2024-12-10T22:05:26.153982,google_search_console,search_analytics,8,8,761,0.010512483574244415,5.2509855453350855,https://cvety.kz/almaty/,букет
2024-12-10T22:05:26.153986,google_search_console,search_analytics,8,8,2938,0.002722940776038121,1.0806671204901293,https://cvety.kz/products/15673/,букет цветов фото
2024-12-10T22:05:26.153989,google_search_console,search_analytics,8,8,1656,0.004830917874396135,3.247584541062802,https://blog.cvety.kz/roses,голландские розы
2024-12-10T22:05:26.153992,google_search_console,search_analytics,8,8,33,0.24242424242424243,1.1515151515151516,http://kokshetau.cvety.kz/,доставка цветов кокшетау
2024-12-10T22:05:26.153996,google_search_console,search_analytics,8,8,123,0.06504065040650407,8.59349593495935,https://cvety.kz/kokshetau/,доставка цветов кокшетау
2024-12-10T22:05:26.153999,google_search_console,search_analytics,8,8,631,0.012678288431061807,7.340729001584786,https://cvety.kz/astana/plants/,комнатные растения
2024-12-10T22:05:26.154003,google_search_console,search_analytics,8,8,52,0.15384615384615385,2.3269230769230766,https://cvety.kz/kostanay/,костанай доставка цветов
2024-12-10T22:05:26.154006,google_search_console,search_analytics,8,8,407,0.019656019656019656,5.69041769041769,https://blog.cvety.kz/men-gifts,подарок для мужчины
2024-12-10T22:05:26.154009,google_search_console,search_analytics,8,8,43,0.18604651162790697,3.883720930232558,https://blog.cvety.kz/facts,сообщение о цветах
2024-12-10T22:05:26.154013,google_search_console,search_analytics,8,8,290,0.027586206896551724,8.831034482758621,https://blog.cvety.kz/flowershop,цветочный бизнес с нуля
2024-12-10T22:05:26.154016,google_search_console,search_analytics,8,8,2800,0.002857142857142857,4.738214285714285,https://cvety.kz/shymkent/,цветы
2024-12-10T22:05:26.154020,google_search_console,search_analytics,8,8,411,0.019464720194647202,8.094890510948904,https://cvety.kz/almaty/,цветы алматы доставка
2024-12-10T22:05:26.154024,google_search_console,search_analytics,8,8,43,0.18604651162790697,1.5116279069767442,https://blog.cvety.kz/first-date-bouquet,цветы на первом свидании этикет
2024-12-10T22:05:26.154027,google_search_console,search_analytics,8,8,126,0.06349206349206349,5.777777777777778,https://blog.cvety.kz/hen-party-gift,что подарить на девичник
2024-12-10T22:05:26.154030,google_search_console,search_analytics,7,7,4402,0.0015901862789641072,1.4532030895047705,https://cvety.kz/products/16190/,вкусняшки
2024-12-10T22:05:26.154034,google_search_console,search_analytics,7,7,88,0.07954545454545454,2.6136363636363633,https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,гипсофила нужно ли ставить в воду
2024-12-10T22:05:26.154037,google_search_console,search_analytics,7,7,686,0.01020408163265306,2.042274052478134,https://blog.cvety.kz/roses,голландская роза
2024-12-10T22:05:26.154040,google_search_console,search_analytics,7,7,35,0.2,2.2857142857142856,https://cvety.kz/astana/flowers/cheap/,дешевые цветы астана
2024-12-10T22:05:26.154044,google_search_console,search_analytics,7,7,90,0.07777777777777778,6.822222222222222,https://cvety.kz/pavlodar/flowers/cheap/,дешевые цветы павлодар
2024-12-10T22:05:26.154047,google_search_console,search_analytics,7,7,223,0.03139013452914798,7.367713004484305,https://cvety.kz/almaty/,доставка цветов в алматы
2024-12-10T22:05:26.154050,google_search_console,search_analytics,7,7,50,0.14,2.02,https://cvety.kz/kostanay/,доставка цветов костанай круглосуточно
2024-12-10T22:05:26.154054,google_search_console,search_analytics,7,7,32,0.21875,2.71875,https://cvety.kz/pavlodar/,заказ цветов павлодар
2024-12-10T22:05:26.154057,google_search_console,search_analytics,7,7,41,0.17073170731707318,3.3658536585365852,https://cvety.kz/pavlodar/,заказать цветы павлодар
2024-12-10T22:05:26.154060,google_search_console,search_analytics,7,7,131,0.05343511450381679,7.595419847328245,https://blog.cvety.kz/flowershop,как открыть цветочный бизнес на дому
2024-12-10T22:05:26.154064,google_search_console,search_analytics,7,7,69,0.10144927536231885,4.492753623188406,https://cvety.kz/almaty/flowers/roses/,купить розы в алматы
2024-12-10T22:05:26.154067,google_search_console,search_analytics,7,7,121,0.05785123966942149,2.462809917355372,https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,надо ли гипсофилы ставить в воду
2024-12-10T22:05:26.154070,google_search_console,search_analytics,7,7,72,0.09722222222222222,2.236111111111111,https://cvety.kz/almaty/flowers/chrysanthemums/,хризантемы алматы
2024-12-10T22:05:26.154074,google_search_console,search_analytics,7,7,48,0.14583333333333334,3.5625,https://cvety.kz/astana/plants/,цветы в горшках астана
2024-12-10T22:05:26.154078,google_search_console,search_analytics,7,7,72,0.09722222222222222,2.291666666666667,https://cvety.kz/pavlodar/,цветы павлодар доставка
2024-12-10T22:05:26.154081,google_search_console,search_analytics,7,7,1296,0.005401234567901234,8.852623456790123,https://blog.cvety.kz/peony,цветы пионы
2024-12-10T22:05:26.154084,google_search_console,search_analytics,7,7,130,0.05384615384615385,5.615384615384615,https://cvety.kz/rudny/,цветы рудный
2024-12-10T22:05:26.154088,google_search_console,search_analytics,7,7,613,0.011419249592169658,13.574225122349104,https://blog.cvety.kz/men-gifts,что можно подарить мужчине на день рождения
2024-12-10T22:05:26.154091,google_search_console,search_analytics,7,7,291,0.024054982817869417,8.738831615120276,https://blog.cvety.kz/men-gifts,эмоциональный подарок на день рождения мужчине
2024-12-10T22:05:26.154094,google_search_console,search_analytics,7,7,28,0.25,5.357142857142857,https://blog.cvety.kz/etiket-dareniya-cvetov,язык цветов
